birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1955,"Wed, 18 Jan 2017 02:59:41 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1073,Prefer not to answer,Married,1073,Link from education site,White/European origin,United States,PRE
1955,"Mon, 22 Jan 2018 08:10:37 -0500",Some College,Retired,Not Hispanic or Latino,Female,1495,"$12,000 through $15,999",Widow/widower,1495,Other,White/European origin,United States,PRE
1955,"Wed, 12 Jul 2017 16:27:25 -0500",Master's Degree,Retired,Not Hispanic or Latino,Female,1260,"$100,000 through $149,999",Married,1260,Planned search for this topic in particular,White/European origin,United States,PRE
1955,"Mon, 20 Jun 2016 18:22:32 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,458,"$16,000 through $24,999",Widow/widower,458,Other,White/European origin,United States,PRE
1955,"Thu, 10 Nov 2016 16:24:41 -0500",Master's Degree,Other,Not Hispanic or Latino,Female,995,"$75,000 through $99,999",Married,995,News story,White/European origin,United States,PRE
1955,"Wed, 28 Nov 2018 17:15:45 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,1933,Don't know,Single,1933,Other,White/European origin,Australia,PRE
1955,"Mon, 10 Oct 2016 08:18:28 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,833,Prefer not to answer,Married,833,Link from education site,White/European origin,United States,PRE
1955,"Fri, 16 Sep 2016 13:36:09 -0500",High School Graduate,Other,Not Hispanic or Latino,Female,682,"$5,000 through $11,999",Single,682,Just surfing the web,White/European origin,United States,PRE
1955,"Fri, 23 Sep 2016 13:23:51 -0500",Master's Degree,Retired,Prefer not to answer,Female,781,"$16,000 through $24,999",Divorced,781,Other,Prefer not to answer,United States,PRE
1956,"Sat, 05 Aug 2017 09:02:41 -0500",Master's Degree,Looking for work,Not Hispanic or Latino,Female,1317,"$150,000 through $199,999",Married,1317,Facebook post,White/European origin,United States,PRE
1956,"Fri, 04 Jan 2019 21:03:00 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1960,"$100,000 through $149,999",Divorced,1960,Link from education site,White/European origin,United States,PRE
1956,"Sun, 30 Jul 2017 17:04:30 -0500",Bachelor's Degree,Working full-time,Hispanic or Latino,Male,1297,Prefer not to answer,Married,1297,News story,Other or Unknown,United States,PRE
1956,"Thu, 09 Jun 2016 19:26:56 -0500",Some Graduate School,Working part-time,Not Hispanic or Latino,Female,422,"$35,000 through $49,999",Married,422,Other,White/European origin,United States,PRE
1956,"Wed, 14 Mar 2018 16:31:22 -0500",Some College,Working full-time,Prefer not to answer,Female,1599,"$50,000 through $74,999",Divorced,1599,Advertisement from other sources,Prefer not to answer,United States,PRE
1956,"Fri, 23 Mar 2018 00:33:50 -0500",Master's Degree,Unemployed or laid off,Not Hispanic or Latino,Male,1610,"$75,000 through $99,999",Married,1610,Other,East Asian,United States,PRE
1956,"Wed, 19 Oct 2016 17:56:33 -0500",Associate's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,879,"$75,000 through $99,999",Married,879,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1956,"Wed, 19 Oct 2016 19:20:58 -0500",Some College,Working full-time,Unknown,Female,885,"$50,000 through $74,999",Married,885,News story,White/European origin,United States,PRE
1956,"Thu, 20 Oct 2016 11:45:57 -0500",Bachelor's Degree,Retired,Not Hispanic or Latino,Female,913,"$35,000 through $49,999",Married,913,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1956,"Fri, 16 Sep 2016 11:28:34 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,669,"$35,000 through $49,999",Divorced,669,News story,White/European origin,United States,PRE
1956,"Mon, 19 Sep 2016 08:22:00 -0500",Some Graduate School,Retired,Hispanic or Latino,Female,739,"$35,000 through $49,999",Married,739,News story,Other or Unknown,United States,PRE
1956,"Mon, 19 Sep 2016 12:36:48 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,,752,"$75,000 through $99,999",Married,752,News story,White/European origin,,PRE
1957,"Wed, 05 Dec 2018 20:32:22 -0500",Ph.D.,Working full-time,Prefer not to answer,Male,1940,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1940,Just surfing the web,Prefer not to answer,United States,PRE
1957,"Thu, 08 Feb 2018 15:26:36 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Female,1533,"$75,000 through $99,999",Married,1533,Advertisement from other sources,White/European origin,United States,PRE
1957,"Sat, 11 Jun 2016 10:02:19 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,424,"$200,000 through $249,999",Married,424,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1957,"Sat, 18 Jun 2016 01:12:15 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,451,"$12,000 through $15,999",Single,451,Craigslist Ad,American Indian/Alaska Native,United States,PRE
1957,"Wed, 05 Oct 2016 12:44:17 -0500",Other Advanced Degree,Other,Not Hispanic or Latino,Female,823,"$250,000 or greater",Married,823,Other,White/European origin,United States,PRE
1957,"Fri, 21 Oct 2016 12:51:20 -0500",Some Graduate School,Working part-time,Not Hispanic or Latino,Female,927,"$5,000 through $11,999",Divorced,927,News story,White/European origin,United States,PRE
1957,"Thu, 25 Oct 2018 15:56:51 -0500",Ph.D.,Working full-time,Unknown,Male,1897,"$150,000 through $199,999",Married,1897,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1957,"Fri, 16 Sep 2016 06:58:01 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,638,"$100,000 through $149,999",Married,638,Link from education site,White/European origin,United States,PRE
1957,"Fri, 16 Sep 2016 08:16:14 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,648,"$50,000 through $74,999",Married,648,News story,White/European origin,United States,PRE
1957,"Fri, 16 Sep 2016 09:40:11 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,658,Prefer not to answer,Married,658,Other,White/European origin,United States,PRE
1957,"Sat, 17 Sep 2016 12:02:07 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Female,712,"$250,000 or greater",Married,712,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1957,"Mon, 19 Sep 2016 11:46:13 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,749,"$5,000 through $11,999",Divorced,749,Just surfing the web,White/European origin,United States,PRE
1957,"Sat, 23 Sep 2017 23:42:22 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1360,"$150,000 through $199,999",Married,1360,Just surfing the web,Black/African origin,United States,PRE
1958,"Mon, 13 Jun 2016 21:25:31 -0500",Some College,,,Male,428,"$250,000 or greater",Married,428,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1958,"Sat, 29 Oct 2016 19:40:00 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,965,"$35,000 through $49,999",Divorced,965,News story,White/European origin,United States,PRE
1958,"Fri, 16 Sep 2016 10:17:37 -0500",J.D.,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,663,"$250,000 or greater",Married,663,News story,White/European origin,United States,PRE
1958,"Sun, 18 Sep 2016 00:32:12 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,723,"$50,000 through $74,999",Single,723,Just surfing the web,White/European origin,Canada,PRE
1958,"Tue, 27 Sep 2016 11:51:36 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,803,"$35,000 through $49,999",Married,803,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1959,"Tue, 01 Aug 2017 19:06:45 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1306,"$100,000 through $149,999",Married,1306,Link from education site,White/European origin,United States,PRE
1959,"Wed, 24 Aug 2016 18:28:08 -0500",M.B.A.,Retired,Not Hispanic or Latino,Female,584,"$25,000 through $34,999",Married,584,"Recommendation of friend, family , acquaintance, or colleague",East Asian,United States,PRE
1959,"Wed, 07 Feb 2018 09:49:02 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,1529,"$100,000 through $149,999",Married,1529,News story,White/European origin,United States,PRE
1959,"Thu, 30 Jun 2016 23:09:55 -0500",High School Graduate,Unemployed or laid off,Not Hispanic or Latino,Female,489,"$100,000 through $149,999",Married,489,Craigslist Ad,White/European origin,United States,PRE
1959,"Fri, 22 Jun 2018 16:51:23 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1710,"$100,000 through $149,999",Married,1710,Recommendation of employer,Black/African origin,United States,PRE
1959,"Tue, 28 Jun 2016 08:42:08 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,476,"$35,000 through $49,999",Divorced,476,Craigslist Ad,White/European origin,United States,PRE
1959,"Wed, 29 Jun 2016 07:41:14 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,481,"$100,000 through $149,999",Married,481,Planned search for information related to this topic,Black/African origin,United States,PRE
1959,"Tue, 28 Nov 2017 20:17:25 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Male,1434,"$100,000 through $149,999",Married,1434,Other,White/European origin,Canada,PRE
1959,"Thu, 20 Oct 2016 20:25:06 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,888,"$75,000 through $99,999",Single,888,News story,White/European origin,United States,PRE
1959,"Sat, 17 Sep 2016 15:16:04 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,715,"$250,000 or greater",Married,715,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1959,"Sun, 18 Sep 2016 02:38:02 -0500",Bachelor's Degree,Other,Not Hispanic or Latino,Male,724,"$12,000 through $15,999",Single,724,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1960,"Mon, 07 Aug 2017 16:49:18 -0500",Master's Degree,Retired,Not Hispanic or Latino,Female,1321,"$75,000 through $99,999",Married,1321,Facebook post,White/European origin,United States,PRE
1960,"Sat, 29 Dec 2018 15:05:40 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1956,"$5,000 through $11,999",Widow/widower,1956,Planned search for information related to this topic,White/European origin,United States,PRE
1960,"Tue, 27 Feb 2018 08:37:36 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1563,"$50,000 through $74,999",Divorced,1563,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1960,"Mon, 02 Jan 2017 13:59:38 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1063,"$25,000 through $34,999",Single,1063,Link from education site,White/European origin,France,PRE
1960,"Fri, 19 May 2017 18:15:20 -0500",Associate's Degree,Working part-time,Unknown,Female,1201,"$75,000 through $99,999",Other,1201,News story,White/European origin,Australia,PRE
1960,"Thu, 31 May 2018 17:28:55 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1690,"$100,000 through $149,999",Prefer not to answer,1690,Just surfing the web,White/European origin,United States,PRE
1960,"Sat, 19 Nov 2016 15:25:31 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1017,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",1017,Planned search for this topic in particular,White/European origin,United States,PRE
1960,"Sat, 01 Oct 2016 19:14:57 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,815,"$250,000 or greater",Married,815,Just surfing the web,White/European origin,United States,PRE
1960,"Wed, 05 Oct 2016 15:11:55 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,824,"$50,000 through $74,999",Married,824,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1960,"Wed, 19 Oct 2016 12:53:15 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,870,"$250,000 or greater",Married,870,News story,White/European origin,United States,PRE
1960,"Thu, 20 Oct 2016 09:18:23 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,902,"$75,000 through $99,999",Married,902,Link from education site,White/European origin,Åland Islands,PRE
1960,"Thu, 20 Oct 2016 13:32:05 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,915,"$250,000 or greater",Married,915,News story,White/European origin,United States,PRE
1960,"Tue, 25 Oct 2016 09:17:07 -0500",Some Graduate School,Unemployed or laid off,Not Hispanic or Latino,Female,941,"$50,000 through $74,999",Married,941,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1960,"Fri, 28 Oct 2016 11:41:07 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,959,Prefer not to answer,Married,959,Link from education site,White/European origin,United States,PRE
1960,"Fri, 16 Sep 2016 12:43:14 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,674,"$250,000 or greater",Married,674,News story,White/European origin,United States,PRE
1960,"Fri, 16 Sep 2016 14:17:28 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,684,"$150,000 through $199,999",Married,684,Other,White/European origin,United States,PRE
1961,"Thu, 03 Aug 2017 08:38:27 -0500",Some Graduate School,Working part-time,Not Hispanic or Latino,Female,1314,"$50,000 through $74,999",Married,1314,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1961,"Wed, 24 Aug 2016 13:16:19 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,580,"$150,000 through $199,999",Married,580,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1961,"Thu, 14 Jun 2018 16:10:14 -0500",High School Graduate,Unemployed or laid off,Not Hispanic or Latino,Female,1701,"$12,000 through $15,999",Married,1701,Recommendation of teacher,White/European origin,United States,PRE
1961,"Sun, 04 Mar 2018 14:55:25 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1582,"$75,000 through $99,999",Married,1582,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1961,"Tue, 06 Mar 2018 16:03:47 -0500",Other Advanced Degree,Working full-time,Prefer not to answer,Female,1587,Prefer not to answer,Single,1587,"Recommendation of health professional (e.g., therapist or general practitioner)",Other or Unknown,United States,PRE
1961,"Thu, 20 Oct 2016 20:06:32 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,921,"$100,000 through $149,999",Married,921,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1961,"Sun, 18 Sep 2016 22:03:13 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,736,"$75,000 through $99,999",Married,736,"Link from blog, chat, or discussion thread",White/European origin,Canada,PRE
